Source,Target,Type,Id,Label,timeset,Weight
1,0,Directed,1,Source,,1
2,0,Directed,2,,,1
3,0,Directed,3,,,1
4,0,Directed,4,,,1
5,0,Directed,5,,,1
6,0,Directed,6,,,1
7,0,Directed,7,,,1
7,8,Directed,8,,,1
9,10,Directed,9,,,1
3,11,Directed,10,,,1
8,11,Directed,11,,,1
62,12,Directed,92,,,1
10,13,Directed,13,,,1
63,12,Directed,93,,,1
8,10,Directed,15,,,1
1,14,Directed,16,,,1
15,14,Directed,17,,,1
16,14,Directed,18,,,1
17,14,Directed,19,,,1
18,14,Directed,20,,,1
19,14,Directed,21,,,1
20,14,Directed,22,,,1
21,14,Directed,23,,,1
22,14,Directed,24,,,1
23,14,Directed,25,,,1
24,14,Directed,26,,,1
25,14,Directed,27,,,1
26,14,Directed,28,,,1
27,14,Directed,29,,,1
28,14,Directed,30,,,1
29,14,Directed,31,,,1
31,14,Directed,32,,,1
32,14,Directed,33,,,1
33,14,Directed,34,,,1
34,14,Directed,35,,,1
35,14,Directed,36,,,1
36,14,Directed,37,,,1
37,14,Directed,38,,,1
38,14,Directed,39,,,1
39,14,Directed,40,,,1
3,14,Directed,41,,,1
5,14,Directed,42,,,1
40,14,Directed,43,,,1
41,14,Directed,44,,,1
42,14,Directed,45,,,1
43,14,Directed,46,,,1
44,14,Directed,47,,,1
11,14,Directed,48,,,1
45,14,Directed,49,,,1
46,14,Directed,50,,,1
47,14,Directed,51,,,1
48,14,Directed,52,,,1
49,14,Directed,53,,,1
50,14,Directed,54,,,1
51,14,Directed,55,,,1
52,14,Directed,56,,,1
53,14,Directed,57,,,1
54,14,Directed,58,,,1
19,11,Directed,59,,,1
24,11,Directed,60,,,1
26,11,Directed,61,,,1
1,11,Directed,62,,,1
37,11,Directed,63,,,1
48,11,Directed,64,,,1
51,11,Directed,65,,,1
26,55,Directed,70,,,1
2,55,Directed,72,,,1
1,55,Directed,71,,,1
3,55,Directed,69,,,1
4,55,Directed,73,,,1
5,55,Directed,74,,,1
8,55,Directed,75,,,1
45,55,Directed,76,,,1
46,55,Directed,77,,,1
27,55,Directed,78,,,1
0,55,Directed,79,,,1
11,55,Directed,80,,,1
9,56,Directed,82,,,1
9,13,Directed,83,,,1
5,11,Directed,84,,,1
19,12,Directed,85,,,1
57,12,Directed,86,,,1
58,12,Directed,87,,,1
59,12,Directed,88,,,1
60,12,Directed,89,,,1
61,12,Directed,90,,,1
26,12,Directed,91,,,1
64,12,Directed,94,,,1
65,12,Directed,95,,,1
66,12,Directed,96,,,1
